NLMO,Type,X,Y,Z,Tot.Dip,xyRank,slope,newX,newY,OrbTypes
16,BD ( 1) C 1- O11,1.24,-0.3,0.0,1.27,3.0,-0.24,1.24,-0.3,Lewis (BD)
12,LP ( 1) N12,3.23,-1.53,0.0,3.57,3.0,-0.47,4.47,-1.83,LONE PAIR (LP)
24,BD ( 2) C 4- C 5,0.76,-2.34,0.0,2.46,3.0,-3.08,5.2299999999999995,-4.17,Lewis (BD)
21,BD ( 1) C 3- C 6,0.03,-0.41,0.0,0.41,3.0,-13.67,5.26,-4.58,Lewis (BD)
31,BD ( 1) C13- H14,-0.41,-1.6,0.0,1.65,2.0,3.9,4.85,-6.18,Lewis (BD)
27,BD ( 1) C 6- H 9,-1.07,-1.35,0.0,1.72,2.0,1.26,3.7799999999999994,-7.529999999999999,Lewis (BD)
18,BD ( 1) C 2- C 6,-0.13,-0.12,0.0,0.17,2.0,0.92,3.6499999999999995,-7.6499999999999995,Lewis (BD)
22,BD ( 1) C 3- C13,-0.54,-0.41,0.0,0.68,2.0,0.76,3.1099999999999994,-8.059999999999999,Lewis (BD)
11,LP ( 2) O11,-1.22,-0.33,0.0,1.26,2.0,0.27,1.8899999999999995,-8.389999999999999,LONE PAIR (LP)
14,BD ( 2) C 1- C 3,-2.33,-0.63,0.0,2.42,2.0,0.27,-0.4400000000000006,-9.02,Lewis (BD)
20,BD ( 1) C 2- H10,-1.72,0.32,0.0,1.75,1.0,-0.19,-2.1600000000000006,-8.7,Lewis (BD)
13,BD ( 1) C 1- C 3,-0.13,0.13,0.0,0.18,1.0,-1.0,-2.2900000000000005,-8.569999999999999,Lewis (BD)
17,BD ( 1) C 2- C 5,-0.07,0.09,0.0,0.11,1.0,-1.29,-2.3600000000000003,-8.479999999999999,Lewis (BD)
26,BD ( 1) C 5- H 8,-0.64,1.61,0.0,1.73,1.0,-2.52,-3.0000000000000004,-6.869999999999998,Lewis (BD)
28,BD ( 1) O11- N12,-0.3,1.05,0.0,1.09,1.0,-3.5,-3.3000000000000003,-5.8199999999999985,Lewis (BD)
23,BD ( 1) C 4- C 5,0.06,0.13,0.0,0.15,0.0,2.17,-3.24,-5.689999999999999,Lewis (BD)
19,BD ( 2) C 2- C 6,1.52,1.84,0.0,2.38,0.0,1.21,-1.7200000000000002,-3.8499999999999988,Lewis (BD)
25,BD ( 1) C 4- H 7,1.09,1.27,0.0,1.67,0.0,1.17,-0.6300000000000001,-2.5799999999999987,Lewis (BD)
10,LP ( 1) O11,2.58,1.55,0.0,3.01,0.0,0.6,1.95,-1.0299999999999987,LONE PAIR (LP)
30,BD ( 2) N12- C13,0.86,0.52,0.0,1.01,0.0,0.6,2.81,-0.5099999999999987,Lewis (BD)
29,BD ( 1) N12- C13,0.53,0.13,0.0,0.55,0.0,0.25,3.34,-0.37999999999999867,Lewis (BD)
15,BD ( 1) C 1- C 4,0.46,0.0,0.0,0.46,0.0,0.0,3.8,-0.37999999999999867,Lewis (BD)
